,Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
0,@BBC,0.0,Thu Mar 08 21:28:00 +0000 2018,1.0,0.0,0.0,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",1
1,@BBC,-0.2732,Thu Mar 08 21:00:04 +0000 2018,0.845,0.103,0.052,"""No matter where in the world, when civilisations first made art, they made it about us.""

@wmarybeard presents ton… https://t.co/1vJVwidLTH",2
2,@BBC,0.4019,Thu Mar 08 20:33:04 +0000 2018,0.856,0.0,0.144,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",3
3,@BBC,0.0,Thu Mar 08 20:03:04 +0000 2018,1.0,0.0,0.0,"Lucy and Lee are back! ??

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",4
4,@BBC,0.0,Thu Mar 08 18:00:06 +0000 2018,1.0,0.0,0.0,"What advice would YOU give your younger self? ?

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",5
5,@BBC,-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.664,0.177,0.159,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",6
6,@BBC,0.0,Thu Mar 08 17:00:09 +0000 2018,1.0,0.0,0.0,"? More than half of the UK can't name a famous woman in science. 

Time to change that. 
? https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",7
7,@BBC,0.5719,Thu Mar 08 16:30:05 +0000 2018,0.764,0.0,0.236,"??? Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",8
8,@BBC,0.5803,Thu Mar 08 16:05:42 +0000 2018,0.819,0.0,0.181,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

? Check o…",9
9,@BBC,0.0,Thu Mar 08 15:30:09 +0000 2018,1.0,0.0,0.0,"??? The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",10
10,@BBC,0.0,Thu Mar 08 15:09:13 +0000 2018,1.0,0.0,0.0,"RT @bbcmusic: ? @Camila_Cabello just dropped the video for 'Never Be The Same' ?
What do you think?

Watch ? https://t.co/gv60m6x9Wk https:…",11
11,@BBC,0.0,Thu Mar 08 15:00:05 +0000 2018,1.0,0.0,0.0,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. ??

#InternationalWomensDay… https://t.co/EeOygOVfoh",12
12,@BBC,-0.4588,Thu Mar 08 14:30:02 +0000 2018,0.857,0.143,0.0,"?? #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
?… https://t.co/rHDoqWL4iI",13
13,@BBC,0.0,Thu Mar 08 13:30:05 +0000 2018,1.0,0.0,0.0,"?? These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",14
14,@BBC,0.0,Thu Mar 08 13:09:22 +0000 2018,1.0,0.0,0.0,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. ?? https://t.co/cy2ddCmEKo",15
15,@BBC,-0.5994,Thu Mar 08 13:02:03 +0000 2018,0.855,0.145,0.0,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",16
16,@BBC,0.0,Thu Mar 08 13:00:08 +0000 2018,1.0,0.0,0.0,? ?Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,17
17,@BBC,0.0,Thu Mar 08 12:34:42 +0000 2018,1.0,0.0,0.0,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",18
18,@BBC,0.0,Thu Mar 08 12:30:04 +0000 2018,1.0,0.0,0.0,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",19
19,@BBC,0.4753,Thu Mar 08 12:00:02 +0000 2018,0.795,0.0,0.205,"????? Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",20
20,@BBC,0.0,Thu Mar 08 21:28:00 +0000 2018,1.0,0.0,0.0,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",21
21,@BBC,-0.2732,Thu Mar 08 21:00:04 +0000 2018,0.845,0.103,0.052,"""No matter where in the world, when civilisations first made art, they made it about us.""

@wmarybeard presents ton… https://t.co/1vJVwidLTH",22
22,@BBC,0.4019,Thu Mar 08 20:33:04 +0000 2018,0.856,0.0,0.144,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",23
23,@BBC,0.0,Thu Mar 08 20:03:04 +0000 2018,1.0,0.0,0.0,"Lucy and Lee are back! ??

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",24
24,@BBC,0.0,Thu Mar 08 18:00:06 +0000 2018,1.0,0.0,0.0,"What advice would YOU give your younger self? ?

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",25
25,@BBC,-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.664,0.177,0.159,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",26
26,@BBC,0.0,Thu Mar 08 17:00:09 +0000 2018,1.0,0.0,0.0,"? More than half of the UK can't name a famous woman in science. 

Time to change that. 
? https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",27
27,@BBC,0.5719,Thu Mar 08 16:30:05 +0000 2018,0.764,0.0,0.236,"??? Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",28
28,@BBC,0.5803,Thu Mar 08 16:05:42 +0000 2018,0.819,0.0,0.181,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

? Check o…",29
29,@BBC,0.0,Thu Mar 08 15:30:09 +0000 2018,1.0,0.0,0.0,"??? The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",30
30,@BBC,0.0,Thu Mar 08 15:09:13 +0000 2018,1.0,0.0,0.0,"RT @bbcmusic: ? @Camila_Cabello just dropped the video for 'Never Be The Same' ?
What do you think?

Watch ? https://t.co/gv60m6x9Wk https:…",31
31,@BBC,0.0,Thu Mar 08 15:00:05 +0000 2018,1.0,0.0,0.0,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. ??

#InternationalWomensDay… https://t.co/EeOygOVfoh",32
32,@BBC,-0.4588,Thu Mar 08 14:30:02 +0000 2018,0.857,0.143,0.0,"?? #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
?… https://t.co/rHDoqWL4iI",33
33,@BBC,0.0,Thu Mar 08 13:30:05 +0000 2018,1.0,0.0,0.0,"?? These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",34
34,@BBC,0.0,Thu Mar 08 13:09:22 +0000 2018,1.0,0.0,0.0,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. ?? https://t.co/cy2ddCmEKo",35
35,@BBC,-0.5994,Thu Mar 08 13:02:03 +0000 2018,0.855,0.145,0.0,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",36
36,@BBC,0.0,Thu Mar 08 13:00:08 +0000 2018,1.0,0.0,0.0,? ?Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,37
37,@BBC,0.0,Thu Mar 08 12:34:42 +0000 2018,1.0,0.0,0.0,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",38
38,@BBC,0.0,Thu Mar 08 12:30:04 +0000 2018,1.0,0.0,0.0,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",39
39,@BBC,0.4753,Thu Mar 08 12:00:02 +0000 2018,0.795,0.0,0.205,"????? Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",40
40,@BBC,0.5859,Thu Mar 08 11:46:51 +0000 2018,0.789,0.0,0.211,"RT @BBCR1: ??? 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm ? https://t.co/48Ruy…",41
41,@BBC,0.0,Thu Mar 08 11:00:05 +0000 2018,1.0,0.0,0.0,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",42
42,@BBC,0.6996,Thu Mar 08 10:54:28 +0000 2018,0.721,0.0,0.279,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,43
43,@BBC,0.0,Thu Mar 08 10:32:59 +0000 2018,1.0,0.0,0.0,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,44
44,@BBC,0.5719,Thu Mar 08 09:57:10 +0000 2018,0.829,0.0,0.171,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…",45
45,@BBC,0.5859,Thu Mar 08 09:30:12 +0000 2018,0.743,0.0,0.257,? The story behind Oscar winner James Ivory’s Timothee Chalamet shirt: https://t.co/CY4AJusVEg https://t.co/ANiWIYVSsu,46
46,@BBC,0.0,Thu Mar 08 09:04:01 +0000 2018,1.0,0.0,0.0,"? Who built the world? Girls! 

#InternationalWomensDay #IWD2018 https://t.co/6QY6CDcp1h",47
