,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
sao filipe,56,100,14.9,68.23,4.97
carnarvon,0,36,-30.97,47.98,2.84
dikson,20,84,73.51,-13.18,16.49
vaini,0,39,15.34,58.69,4.63
ahipara,12,70,-35.17,75.21,5.97
atuona,8,99,-9.8,81.64,13.47
yeppoon,75,79,-23.13,86.0,5.82
punta arenas,0,57,-53.16,50.0,14.99
khatanga,56,46,71.98,-28.3,2.39
mataura,80,86,-46.19,60.63,4.52
san onofre,0,79,9.74,80.16,8.43
provideniya,75,66,64.42,15.8,15.66
upernavik,64,94,72.79,3.3,12.01
neryungri,20,31,56.66,-23.12,2.62
limon,1,6,39.26,53.6,17.22
tingi,92,100,-11.3,76.2,1.95
rikitea,64,100,-23.12,78.18,12.8
havre-saint-pierre,90,100,50.23,28.4,5.82
ariquemes,20,87,-9.91,77.55,2.28
rentina,75,80,40.66,39.2,3.36
ushuaia,40,81,-54.81,44.6,20.8
paamiut,0,100,61.99,18.06,4.74
cape town,0,88,-33.93,62.6,12.75
cairns,75,70,-16.92,86.0,3.36
saint-philippe,1,47,45.36,35.1,14.99
yar-sale,36,82,66.83,-8.27,13.02
kavieng,12,100,-2.57,84.84,5.53
clyde river,5,75,70.47,-18.41,2.24
busselton,32,100,-33.64,64.18,14.25
biak,76,96,-0.91,79.66,1.83
nanortalik,0,100,60.14,14.14,10.0
east london,0,93,-33.02,72.28,23.76
jamestown,0,77,-33.21,71.29,11.23
port shepstone,24,91,-30.74,69.18,16.82
the valley,20,69,18.22,77.0,9.17
road town,1,78,18.42,74.46,10.29
kapaa,90,88,22.08,75.2,16.11
ostrovnoy,0,79,68.05,-3.77,2.06
hami,0,73,42.84,22.69,3.74
thompson,90,78,55.74,14.0,3.36
totness,75,87,33.74,61.84,11.56
hamilton,20,68,32.3,69.8,17.22
hambantota,12,100,6.12,77.64,11.79
tashtyp,68,90,52.8,8.11,1.72
victoria,75,94,5.28,78.8,1.12
tasiilaq,0,67,65.61,23.0,1.12
sao gabriel da cachoeira,68,86,-0.13,79.48,2.95
hasaki,75,69,35.73,39.2,4.7
pangkalanbuun,36,98,-2.68,74.67,3.4
lagoa,20,93,37.14,57.2,11.41
ponta do sol,92,93,-20.63,67.47,2.95
butaritari,56,100,3.07,82.86,17.83
nushki,0,74,29.55,54.69,6.53
nikolskoye,75,70,59.7,1.4,11.18
chhindwara,12,69,22.06,54.78,3.74
taybad,48,99,34.74,39.79,2.73
maldonado,20,77,-34.91,68.0,6.93
mosquera,40,76,4.71,57.2,5.82
charters towers,44,100,-20.07,80.29,6.42
iqaluit,40,60,63.75,10.4,7.2
saldanha,76,57,41.42,35.88,12.24
bambous virieux,75,88,-20.34,78.8,8.05
hermanus,0,94,-34.42,48.75,2.73
coro,20,83,11.41,75.34,8.88
barrow,0,51,-38.31,73.41,12.24
sitka,0,46,37.17,53.88,18.16
pitimbu,20,78,-7.47,78.8,6.93
fuyang,48,80,32.89,43.44,5.64
quatre cocos,75,88,-20.21,78.8,8.05
mount isa,8,15,-20.73,93.2,5.82
sao joao da barra,75,78,-21.64,78.8,9.17
kautokeino,76,60,69.01,4.51,2.17
puerto ayora,40,69,-0.74,82.4,9.17
mar del plata,64,35,-46.43,72.78,8.43
kawalu,56,97,-7.38,69.0,2.28
bethel,90,78,60.79,15.8,17.22
salalah,20,69,17.01,73.4,2.24
lebu,40,62,8.96,59.0,2.95
darhan,48,65,49.49,6.36,2.84
hobart,75,48,-42.88,66.2,12.75
leningradskiy,88,94,69.38,24.31,36.95
port alfred,0,82,-33.59,67.69,11.23
havoysund,0,92,71.0,17.6,1.12
new norfolk,75,48,-42.78,66.2,12.75
mugur-aksy,68,65,50.38,13.69,8.77
camacupa,12,62,-12.02,63.28,1.95
soria,0,77,41.76,14.68,2.62
severo-kurilsk,48,100,50.68,25.71,9.78
avarua,75,74,-21.21,84.2,10.29
almaznyy,68,77,48.03,7.26,9.66
hilo,90,88,19.71,68.23,3.36
kahului,40,61,20.89,76.82,25.28
harpanahalli,0,55,14.8,57.75,6.42
bolobo,92,100,-2.17,72.19,2.17
bluff,44,87,-23.58,81.64,5.64
kruisfontein,0,91,-34.0,63.01,3.51
jalu,0,65,29.03,52.21,4.29
klaksvik,0,99,62.23,37.4,8.05
arraial do cabo,40,94,-22.97,77.0,7.09
sibolga,0,100,1.74,65.89,1.95
samarai,8,100,-10.62,83.58,6.2
juneau,90,74,58.3,37.4,11.41
nyurba,44,61,63.29,-20.83,3.74
sabang,92,100,13.72,74.76,7.43
vardo,1,42,39.62,42.53,3.36
antofagasta,40,77,-23.65,68.0,10.29
gat,0,82,14.69,68.0,6.93
tuktoyaktuk,75,76,69.44,-2.64,8.05
berdigestyakh,32,38,62.1,-25.42,2.17
kourou,0,83,5.16,77.0,4.7
longyearbyen,75,95,78.22,37.4,27.51
port hueneme,40,62,34.15,58.28,20.8
saint anthony,90,80,43.97,30.78,16.11
isangel,76,100,-19.55,82.05,11.56
ferreira do alentejo,75,100,38.06,53.6,12.75
fairbanks,90,92,64.84,16.43,3.4
gladstone,100,88,-23.84,82.09,5.75
poum,92,93,41.28,21.61,2.17
talnakh,0,58,69.49,-32.71,2.51
klyuchi,44,74,52.25,0.6,7.99
haines junction,64,80,60.75,17.43,2.17
barranca,80,95,-10.75,67.92,9.44
pevek,80,94,69.7,11.76,38.18
mount gambier,24,59,-37.83,75.12,7.31
banda aceh,32,100,5.56,73.54,2.51
evensk,12,100,61.92,4.38,4.74
svetlogorsk,90,85,53.14,12.2,11.18
vista hermosa,0,26,17.8,75.75,8.21
kavaratti,0,100,10.57,82.59,2.73
novyy urengoy,64,57,66.08,-19.57,2.73
albany,1,48,42.65,40.28,9.17
lincoln,68,73,53.23,29.43,6.93
hermiston,40,31,45.84,45.18,6.93
mahasamund,0,64,21.11,63.19,4.63
la ronge,90,73,55.1,19.4,3.36
kawhia,92,100,-38.07,64.54,21.07
luderitz,0,82,-26.65,62.6,2.24
kamaishi,20,73,39.28,21.2,3.36
umm bab,32,92,25.21,62.11,5.3
adrar,0,27,27.87,64.4,11.41
mana,90,85,43.52,11.08,1.12
namibe,0,100,-15.19,75.61,6.08
bredasdorp,0,87,-34.53,51.8,2.24
tuatapere,80,100,-46.13,58.11,5.97
kodiak,1,34,39.95,53.6,11.41
lompoc,90,87,34.64,50.34,14.99
chipinge,92,100,-20.19,67.69,3.18
broome,68,92,52.47,25.88,2.24
loandjili,20,94,-4.77,77.0,3.36
padang,48,100,-0.92,79.03,1.83
georgetown,40,88,6.8,75.2,6.93
soyo,88,96,-6.13,75.75,2.17
marsa matruh,0,71,31.35,57.2,9.17
taoudenni,0,84,22.68,56.49,3.85
heyang,92,96,26.1,54.64,10.22
cidreira,24,85,-30.17,72.64,8.66
inhambane,92,100,-23.87,76.83,15.82
kiama,40,64,-34.67,69.8,8.05
lakatoro,48,93,-16.11,83.49,3.96
aleksandrov gay,24,83,50.14,9.78,11.79
cabo san lucas,40,46,22.89,69.8,8.05
nongpoh,75,93,25.9,66.2,4.7
ormara,0,89,25.21,69.31,7.76
hokitika,68,93,-42.72,63.28,2.62
ribeira grande,80,100,38.52,59.28,18.16
qaanaaq,56,89,77.48,-1.21,14.03
castro,0,75,-42.48,57.21,6.98
souillac,0,45,45.6,25.59,11.41
yellowknife,75,77,62.45,6.8,6.93
norsup,48,93,-16.07,83.49,3.96
palmer,0,26,-34.85,82.4,17.22
novoagansk,32,39,61.94,-25.19,3.96
sinnamary,0,96,5.38,78.63,10.11
punta gorda,1,69,26.93,75.69,6.93
saskylakh,76,41,71.97,-26.41,2.95
sembakung,68,99,3.82,76.11,2.84
mataram,32,94,-5.32,74.31,2.06
bafq,0,53,31.6,39.57,5.75
san luis,0,61,-33.3,71.79,2.73
tallahassee,40,88,30.44,66.69,4.7
meulaboh,44,100,4.14,77.82,3.85
tynset,48,91,62.28,-4.01,4.7
saint george,75,81,39.45,46.4,9.17
mayumba,36,100,-3.44,77.1,3.29
jumla,0,60,29.28,23.01,2.73
garmsar,64,79,35.22,35.97,1.83
coahuayana,0,28,18.62,83.85,3.4
guerrero negro,0,42,27.97,65.4,11.34
chokurdakh,12,69,70.62,-15.11,18.28
champerico,40,45,16.38,84.2,17.22
grindavik,90,100,63.84,44.6,20.8
marsabit,0,55,2.34,76.56,6.98
dingzhou,48,69,38.51,39.2,8.95
topeka,1,26,39.05,55.98,10.29
wanning,75,66,48.64,15.8,8.05
kukmor,92,77,56.19,5.01,10.89
nosy varika,0,100,-20.58,80.11,5.53
dunedin,80,88,-45.87,58.11,4.07
taicheng,8,94,22.25,59.86,6.08
concordia,32,97,-31.4,68.91,2.84
huarmey,48,66,-10.07,70.21,3.4
tocache,92,94,-8.19,60.49,0.6
pathardi,0,85,19.17,55.54,2.51
panaba,100,73,21.28,77.59,6.98
mitsamiouli,68,99,-11.38,82.59,4.07
manado,20,94,1.49,77.0,2.24
faanui,0,99,-16.48,82.86,14.81
nalut,44,60,31.86,53.25,10.33
sao felix do xingu,24,92,-6.64,76.56,1.72
cap malheureux,75,88,-19.98,78.8,8.05
minot,1,69,48.23,33.22,10.29
kieta,8,99,-6.22,83.08,1.95
mvuma,80,98,-19.28,62.97,11.12
tabou,20,96,4.42,80.61,9.66
rio branco,40,88,-9.98,73.4,6.93
spas,0,71,50.05,5.0,8.95
roald,0,74,62.58,25.34,11.41
kijang,0,86,35.24,39.2,3.36
ulkan,48,77,57.24,-1.52,2.39
avera,1,93,33.19,62.62,6.98
la rioja,8,63,-29.41,75.79,3.4
kurdzhinovo,8,81,43.99,11.98,1.72
ilulissat,0,63,69.22,-5.81,1.12
bandipur,36,90,11.67,55.95,1.28
bhaderwah,92,92,32.98,42.54,1.61
touros,0,93,-5.2,77.1,7.2
lorengau,20,96,-2.02,84.3,4.07
tommot,20,28,58.97,-20.42,2.62
umm kaddadah,0,48,13.6,68.59,2.39
chilliwack,90,68,49.17,39.92,10.29
san jeronimo,64,90,-13.65,46.63,2.06
dudinka,0,0,69.41,-33.25,3.18
hithadhoo,80,100,-0.6,82.54,4.52
kaitangata,76,86,-46.28,59.46,5.53
torbay,90,100,47.66,23.0,17.22
mogok,0,98,22.92,55.09,2.62
chuy,0,82,-33.69,67.06,9.78
huejuquilla el alto,0,28,22.63,69.36,6.64
kudahuvadhoo,44,100,2.67,81.33,12.35
primo tapia,20,55,32.22,61.32,11.41
glendive,1,74,47.11,27.45,11.41
srirampur,40,88,23.92,68.0,2.95
gandorhun,36,89,8.44,73.05,2.95
kyren,48,81,51.68,-0.04,2.17
sao jose da coroa grande,44,97,-8.9,74.85,6.42
mirabad,88,94,28.27,52.21,5.19
airai,20,89,-8.93,73.95,1.72
mariental,0,72,52.28,10.95,4.63
port elizabeth,20,69,39.31,46.42,4.7
policoro,0,100,40.21,35.6,5.82
port hardy,75,75,50.7,42.8,8.05
hualmay,24,75,-11.1,70.35,4.74
yeniseysk,44,69,58.45,-5.17,2.62
kaeo,0,57,-35.1,77.01,7.43
zhigansk,0,49,66.77,-29.38,4.18
pedernales,80,91,0.07,73.32,3.51
george,20,94,6.63,75.2,5.64
igarka,44,76,67.47,-11.29,8.99
tongliao,0,64,43.61,11.44,11.23
mahebourg,75,88,-20.41,78.8,8.05
praia da vitoria,20,87,38.73,51.8,28.34
prince rupert,90,93,54.32,35.6,20.8
oranjemund,0,93,-28.55,63.42,3.06
paharpur,20,92,32.1,51.54,1.83
itapeva,44,82,-23.98,69.94,7.87
copperas cove,90,55,31.12,64.94,8.05
lata,80,63,30.78,44.52,2.28
shakawe,80,94,-18.36,64.5,12.01
los llanos de aridane,90,77,28.66,64.4,26.4
mogwase,92,82,-25.28,68.0,2.24
galle,40,52,29.74,68.0,9.17
general bravo,92,98,25.79,68.91,6.98
agnibilekrou,56,98,7.13,72.96,3.4
sobolevo,56,58,54.43,-6.16,6.31
bubaque,0,78,11.28,71.6,5.82
roma,0,73,41.89,25.41,5.82
tomari,0,86,47.76,18.24,8.21
vila velha,20,83,-3.71,80.6,5.82
muros,0,69,42.77,37.4,3.36
dalbandin,32,83,28.9,55.59,4.52
pontianak,40,94,-0.02,75.2,3.4
lanzhou,0,85,36.06,14.0,6.71
makkaveyevo,20,76,51.75,-4.01,4.47
changji,8,85,32.07,38.98,3.4
espinosa,88,58,-14.92,75.3,6.2
khorramshahr,90,88,30.43,61.61,6.93
husavik,48,87,50.56,26.83,6.42
